"tag","mark","title","url","subscribe"
"bookmark","later","Marcador","https://github.com/joajfreitas/marcador",""
"bookmark,firefox","cache","rofi-firefox-bookmark","https://github.com/MusicalArtist12/rofi-firefox-bookmark",""
"bookmark,linkding","cache","rofi-linkding","https://github.com/merdely/rofi-linkding",""
"calc","mark","rofi-calc","https://github.com/svenstaro/rofi-calc",""
"control","cache","Rofi Control Center Plugin","https://github.com/bertdida/rofi-control-center",""
"dict,sdcv","cache","dict.sh","https://gist.github.com/Amooti73/9dac66ffee26f93baf211ab8c05949cd",""
"emoji","cache","Rofimoji","https://github.com/fdw/rofimoji",""
"english","cache","et","https://github.com/PlankCipher/et",""
"ime","later","Kaomoji Rofi","https://gitlab.com/ceda_ei/kaomoji-rofi",""
"keymap,dmenus","cache","dmenu-hotkeys","https://github.com/maledorak/dmenu-hotkeys",""
"keymap,x64","mark","rofi-shortcuts","https://github.com/Zeioth/rofi-shortcuts",""
"mount,dmenu","cache","udiskie-dmenu","https://github.com/fogine/udiskie-dmenu",""
"mpd","cache","clerk","https://github.com/carnager/clerk",""
"network","cache","rofi-network-manager","https://github.com/P3rf/rofi-network-manager",""
"obsidian","cache","Rofi Helper","https://github.com/digitalsignalperson/obsidian-rofi-helper",""
"paste","cache","rofi-gpaste","https://github.com/yusufaktepe/rofi-gpaste",""
"preset","mark","Rofi","https://github.com/adi1090x/rofi",""
"recoll","cache","zzzfoo","https://github.com/andersju/zzzfoo",""
"search","cache","rofi-search","https://github.com/fogine/rofi-search",""
"youtube","cache","ytdl-mpv","https://github.com/andros21/ytdl-mpv",""
