"tag","mark","title","url","subscribe"
"preset","cache","rime-easy-en","https://github.com/BlindingDark/rime-easy-en",""
"preset","later","Rime English输入方案","https://github.com/sdadonkey/rime-english",""
"preset","mark","雾凇拼音","https://github.com/iDvel/rime-ice",""
"script","cache","Rime-Lua-GoogleTranslate","https://github.com/JACKCHAN000/Rime-Lua-GoogleTranslate",""
