"tag","mark","title","url","subscribe"
"bot","cache","JMusicBot","https://github.com/jagrosh/MusicBot)",""
"image","cache","Discord Image Gallery","https://github.com/ELginas/discord-image-gallery)",""
"joplin","cache","Joplin Discord Rich Presence Plugin","https://github.com/mahancoder/joplin-discord-rich-presence)",""
"obsidian","cache","Discord Share","https://github.com/phd20/obsidian-discord-share)",""
"presence","cache","Cord – Tailor Your Presence Like Never Before","https://github.com/vyfor/cord.nvim)",""
"tool","cache","DiscordChatExporter","https://github.com/Tyrrrz/DiscordChatExporter)",""
