"mark","tag","title","link"
"cache","poster","System Design 101","https://github.com/ByteByteGoHq/system-design-101"
"later","sheet","Art style gallery","https://airtable.com/appGc7YdwCFVYwTK8/shrY4CRFRaIhLjiBe/tbldCHol3ABwHG9ex"
"cache","sheet","ISO-3166-Countries-with-Regional-Codes","https://github.com/lukes/ISO-3166-Countries-with-Regional-Codes/blob/master/all/all.csv"
"cache","sheet","(La)TeX font errors cheat sheet","https://github.com/nschloe/tex-font-errors-cheatsheet"
"mark","sheet","PaperSizes","https://papersizes.io/"
